*1000Hz	-38.2

20.00	-2.2
20.55	-1.9
21.11	-1.5
21.69	-1.2
22.29	-0.9
22.90	-0.6
23.53	-0.4
24.18	-0.2
24.84	-0.1
25.52	0.0
26.22	0.1
26.94	0.1
27.68	0.2
28.44	0.2
29.22	0.2
30.03	0.2
30.85	0.3
31.70	0.3
32.57	0.3
33.46	0.4
34.38	0.4
35.33	0.4
36.30	0.4
37.29	0.4
38.32	0.5
39.37	0.5
40.45	0.5
41.56	0.5
42.70	0.5
43.87	0.5
45.08	0.5
46.32	0.5
47.59	0.5
48.90	0.5
50.24	0.5
51.62	0.6
53.03	0.6
54.49	0.6
55.99	0.7
57.52	0.7
59.10	0.8
60.73	0.9
62.39	0.9
64.11	1.0
65.87	1.0
67.68	1.1
69.54	1.1
71.44	1.1
73.41	1.1
75.42	1.0
77.49	1.0
79.62	1.0
81.81	0.9
84.05	0.9
86.36	1.0
88.73	1.0
91.17	1.0
93.67	1.0
96.25	1.0
98.89	1.0
101.60	1.0
104.39	1.0
107.26	1.0
110.21	0.9
113.23	0.9
116.34	0.9
119.54	0.9
122.82	0.9
126.19	0.9
129.66	0.9
133.22	0.9
136.87	0.9
140.63	0.8
144.50	0.8
148.46	0.8
152.54	0.9
156.73	0.9
161.03	0.9
165.45	1.0
170.00	1.0
174.67	1.1
179.46	1.1
184.39	1.2
189.45	1.2
194.65	1.2
200.00	1.2
205.49	1.2
211.13	1.1
216.93	1.1
222.89	1.0
229.01	0.9
235.30	0.9
241.76	0.8
248.40	0.7
255.22	0.7
262.23	0.7
269.43	0.7
276.83	0.7
284.43	0.8
292.24	0.9
300.26	1.0
308.51	1.0
316.98	1.0
325.68	1.0
334.63	1.0
343.81	1.0
353.26	0.9
362.96	0.8
372.92	0.7
383.16	0.6
393.68	0.6
404.49	0.5
415.60	0.5
427.01	0.5
438.74	0.5
450.79	0.6
463.17	0.7
475.88	0.8
488.95	0.9
502.38	0.8
516.17	0.3
530.35	0.2
544.91	0.2
559.87	0.4
575.25	0.6
591.04	0.6
607.27	0.6
623.95	0.6
641.08	0.7
658.68	0.7
676.77	0.7
695.35	0.7
714.45	0.8
734.07	0.8
754.22	0.7
774.94	0.7
796.21	0.7
818.08	0.7
840.54	0.6
863.62	0.6
887.34	0.5
911.70	0.5
936.74	0.4
962.46	0.3
988.89	0.2
1016.04	0.0
1043.94	-0.1
1072.61	-0.2
1102.06	-0.2
1132.33	-0.2
1163.42	-0.1
1195.37	-0.1
1228.19	-0.1
1261.91	-0.2
1296.57	-0.2
1332.17	-0.2
1368.75	-0.2
1406.34	-0.2
1444.95	-0.2
1484.63	-0.2
1525.40	-0.1
1567.28	-0.1
1610.32	0.0
1654.54	0.2
1699.97	0.3
1746.65	0.4
1794.61	0.6
1843.89	0.7
1894.53	0.7
1946.55	0.7
2000.00	0.6
2054.92	0.5
2111.35	0.4
2169.32	0.3
2228.89	0.3
2290.10	0.2
2352.98	0.0
2417.59	-0.1
2483.98	-0.1
2552.19	0.2
2622.27	0.4
2694.27	0.6
2768.26	0.7
2844.27	0.9
2922.37	1.0
3002.62	1.2
3085.07	1.3
3169.79	1.5
3256.83	1.6
3346.26	1.9
3438.14	2.1
3532.55	2.2
3629.56	2.0
3729.22	1.5
3831.62	1.1
3936.84	0.9
4044.94	1.0
4156.01	1.3
4270.14	1.9
4387.39	2.4
4507.87	2.5
4631.65	2.2
4758.83	1.5
4889.51	1.0
5023.77	1.0
5161.72	1.0
5303.46	1.2
5449.09	1.3
5598.72	1.3
5752.46	1.3
5910.42	1.3
6072.72	1.5
6239.47	1.6
6410.80	1.5
6586.84	1.4
6767.71	1.5
6953.55	1.8
7144.49	2.1
7340.67	2.0
7542.24	2.0
7749.35	2.1
7962.14	2.3
8180.78	2.0
8405.42	1.5
8636.23	1.2
8873.37	1.4
9117.03	1.6
9367.38	1.5
9624.61	1.0
9888.89	0.4
10160.44	0.1
10439.44	0.0
10726.10	-0.1
11020.63	-0.3
11323.25	-0.6
11634.18	-0.7
11953.65	-0.6
12281.89	-0.5
12619.15	-0.5
12965.66	-0.2
13321.69	-0.1
13687.50	-0.1
14063.35	-0.1
14449.52	-0.1
14846.30	-0.8
15253.97	-1.1
15672.84	-0.9
16103.21	-1.3
16545.39	-1.7
16999.72	-1.8
17466.52	-2.3
17946.14	-3.0
18438.94	-2.8
18945.26	-3.9
19465.49	-4.3
20000.00	-4.4
